Wavenumber, 11301_2-16.SPA, 113121_2-22.SPA, 113151_2-22.SPA, 113181_2-22.SPA, 113241_2-22.SPA, 113301_2-22.SPA, 11331_2-16.SPA, 113361_2-22.SPA, 11361_2-16.SPA, 11391_2-22.SPA
1807.53, 98.3136, 98.5089, 98.6573, 98.5595, 98.7393, 98.5767, 98.3529, 98.5456, 98.684, 98.9251
1807.47, 98.3249, 98.5135, 98.6568, 98.5633, 98.7371, 98.5859, 98.3555, 98.5568, 98.6753, 98.9148
1807.41, 98.3367, 98.5216, 98.6574, 98.5679, 98.7324, 98.5958, 98.3598, 98.5662, 98.6618, 98.9024
1807.35, 98.3469, 98.5331, 98.6596, 98.5723, 98.7262, 98.6044, 98.3663, 98.5728, 98.6457, 98.8903
1807.29, 98.3537, 98.5474, 98.6636, 98.5756, 98.7197, 98.6103, 98.375, 98.5762, 98.6296, 98.8807
1807.23, 98.3557, 98.5634, 98.6694, 98.5773, 98.7147, 98.6121, 98.3859, 98.5765, 98.6159, 98.875
1807.17, 98.3524, 98.5799, 98.6767, 98.5771, 98.7126, 98.6097, 98.3984, 98.5742, 98.6066, 98.8735
1807.11, 98.3441, 98.5956, 98.6848, 98.5747, 98.7142, 98.6037, 98.4111, 98.5701, 98.6024, 98.8754
1807.05, 98.3317, 98.609, 98.6926, 98.5703, 98.7192, 98.5954, 98.4224, 98.5653, 98.6032, 98.8788
1806.99, 98.3167, 98.6189, 98.6995, 98.5636, 98.7265, 98.5871, 98.4306, 98.5607, 98.6078, 98.8821
1806.93, 98.301, 98.6241, 98.7047, 98.5548, 98.7341, 98.5808, 98.4344, 98.5567, 98.6147, 98.8836
1806.87, 98.2862, 98.6241, 98.708, 98.544, 98.7405, 98.5783, 98.433, 98.5538, 98.6219, 98.8827
1806.81, 98.2736, 98.6192, 98.7096, 98.5317, 98.7443, 98.5808, 98.4268, 98.552, 98.6279, 98.8799
1806.75, 98.2641, 98.6104, 98.7095, 98.5188, 98.7455, 98.5882, 98.4164, 98.5512, 98.6314, 98.8761
1806.69, 98.2581, 98.5995, 98.7083, 98.5066, 98.7445, 98.5995, 98.4032, 98.5515, 98.6323, 98.8727
1806.63, 98.2551, 98.5884, 98.706, 98.4966, 98.7424, 98.6132, 98.3888, 98.5529, 98.6309, 98.8708
1806.57, 98.2543, 98.5789, 98.7026, 98.4905, 98.7403, 98.6272, 98.3745, 98.5555, 98.6282, 98.8707
1806.51, 98.2544, 98.5721, 98.6983, 98.4895, 98.7387, 98.6398, 98.3615, 98.5593, 98.6256, 98.8719
1806.45, 98.2539, 98.5679, 98.6932, 98.494, 98.7378, 98.6498, 98.3507, 98.5639, 98.6242, 98.873
1806.39, 98.2519, 98.5659, 98.6881, 98.5037, 98.7369, 98.6562, 98.3429, 98.5686, 98.6243, 98.8727
1806.33, 98.2476, 98.5648, 98.6837, 98.517, 98.7352, 98.6589, 98.3384, 98.5724, 98.6257, 98.8699
1806.27, 98.2414, 98.5633, 98.6809, 98.5317, 98.732, 98.6579, 98.3372, 98.574, 98.6276, 98.864
1806.21, 98.234, 98.5604, 98.6799, 98.5449, 98.7268, 98.6535, 98.3389, 98.5725, 98.6288, 98.856
1806.15, 98.2268, 98.5553, 98.68, 98.5542, 98.7193, 98.6462, 98.3428, 98.5679, 98.6285, 98.847
1806.09, 98.2211, 98.5476, 98.6797, 98.5576, 98.7097, 98.6366, 98.3478, 98.5604, 98.6261, 98.839
1806.03, 98.2179, 98.5374, 98.6772, 98.5546, 98.6979, 98.6255, 98.3527, 98.5513, 98.6215, 98.8332
1805.97, 98.2173, 98.5248, 98.6705, 98.5454, 98.6844, 98.6139, 98.3566, 98.542, 98.6154, 98.83
1805.91, 98.2188, 98.5104, 98.659, 98.5316, 98.6695, 98.603, 98.3587, 98.5337, 98.6083, 98.8289
1805.84, 98.2215, 98.4951, 98.6433, 98.5153, 98.654, 98.594, 98.3594, 98.5271, 98.6008, 98.8284
1805.78, 98.2241, 98.4802, 98.6258, 98.4986, 98.6389, 98.5878, 98.359, 98.5221, 98.5935, 98.8267
1805.72, 98.226, 98.4674, 98.6098, 98.4833, 98.6257, 98.585, 98.3584, 98.5182, 98.5865, 98.8221
1805.66, 98.227, 98.4585, 98.5986, 98.4704, 98.6157, 98.5852, 98.3584, 98.5148, 98.58, 98.8139
1805.6, 98.2274, 98.4549, 98.5949, 98.4605, 98.6101, 98.5878, 98.3593, 98.5113, 98.5743, 98.8024
1805.54, 98.2279, 98.457, 98.5996, 98.4533, 98.6095, 98.5914, 98.3609, 98.5078, 98.5699, 98.789
1805.48, 98.2291, 98.4644, 98.6116, 98.4486, 98.6136, 98.5947, 98.3625, 98.5049, 98.5671, 98.7757
1805.42, 98.2308, 98.4753, 98.6282, 98.4462, 98.6212, 98.5966, 98.3633, 98.5032, 98.566, 98.7643
1805.36, 98.2324, 98.4875, 98.6461, 98.446, 98.6307, 98.5968, 98.3625, 98.5033, 98.5666, 98.7564
1805.3, 98.2326, 98.4984, 98.6617, 98.4481, 98.6402, 98.5957, 98.3597, 98.505, 98.5682, 98.7527
1805.24, 98.2299, 98.5059, 98.6728, 98.4526, 98.6484, 98.5945, 98.355, 98.5078, 98.5702, 98.753
1805.18, 98.2229, 98.5086, 98.6782, 98.4593, 98.6543, 98.5946, 98.3489, 98.5105, 98.5717, 98.7562
1805.12, 98.2113, 98.5065, 98.6784, 98.4677, 98.6581, 98.5977, 98.3422, 98.5119, 98.5723, 98.761
1805.06, 98.1955, 98.5002, 98.6748, 98.4772, 98.6603, 98.6045, 98.3361, 98.5109, 98.5718, 98.7661
1805, 98.177, 98.4915, 98.6695, 98.4867, 98.6618, 98.6151, 98.3312, 98.5072, 98.5704, 98.7703
1804.94, 98.1577, 98.4825, 98.6642, 98.4953, 98.6633, 98.6284, 98.3282, 98.5005, 98.5686, 98.7732
1804.88, 98.1398, 98.4752, 98.6599, 98.5026, 98.6653, 98.6425, 98.3274, 98.491, 98.5669, 98.7751
1804.82, 98.125, 98.4716, 98.6571, 98.5081, 98.6677, 98.6549, 98.3284, 98.479, 98.5652, 98.7767
1804.76, 98.1144, 98.473, 98.6552, 98.5121, 98.6701, 98.6634, 98.331, 98.4648, 98.5638, 98.7791
1804.7, 98.1084, 98.4796, 98.6533, 98.5149, 98.6722, 98.6664, 98.3343, 98.4488, 98.5624, 98.7833
1804.64, 98.1067, 98.4908, 98.6502, 98.5167, 98.6741, 98.6633, 98.3377, 98.4313, 98.5612, 98.7897
1804.58, 98.1088, 98.505, 98.6454, 98.5178, 98.676, 98.6545, 98.3406, 98.4134, 98.5601, 98.798
1804.52, 98.1138, 98.5199, 98.6385, 98.5181, 98.6785, 98.6414, 98.3425, 98.3965, 98.5594, 98.8068
1804.46, 98.1209, 98.5332, 98.6301, 98.5171, 98.6823, 98.6257, 98.3432, 98.3823, 98.5592, 98.8144
1804.4, 98.1293, 98.5429, 98.6212, 98.5145, 98.6875, 98.6091, 98.3424, 98.3723, 98.5592, 98.8188
1804.34, 98.138, 98.5479, 98.613, 98.5097, 98.6939, 98.5932, 98.3401, 98.368, 98.559, 98.8187
1804.28, 98.1463, 98.5483, 98.6068, 98.5028, 98.7004, 98.5789, 98.3357, 98.3697, 98.5577, 98.8139
1804.22, 98.1532, 98.5451, 98.6029, 98.4938, 98.7055, 98.5668, 98.3286, 98.3768, 98.5548, 98.8053
1804.16, 98.1579, 98.5398, 98.6016, 98.4837, 98.7076, 98.5568, 98.3184, 98.388, 98.55, 98.795
1804.1, 98.1596, 98.5339, 98.6021, 98.4735, 98.7057, 98.5487, 98.3046, 98.4016, 98.5437, 98.7849
1804.04, 98.1578, 98.5281, 98.6036, 98.4645, 98.6994, 98.542, 98.2877, 98.4156, 98.5368, 98.7769
1803.98, 98.1525, 98.5228, 98.6052, 98.4577, 98.6893, 98.5367, 98.2687, 98.4285, 98.5306, 98.7716
1803.92, 98.1439, 98.5175, 98.6064, 98.4538, 98.6768, 98.5324, 98.2494, 98.4394, 98.5263, 98.7684
1803.86, 98.1326, 98.5117, 98.6072, 98.4526, 98.6635, 98.5293, 98.2319, 98.448, 98.5246, 98.7658
1803.8, 98.1197, 98.5048, 98.6082, 98.4534, 98.6509, 98.5273, 98.2183, 98.4543, 98.5255, 98.7623
1803.74, 98.1059, 98.4971, 98.6099, 98.4549, 98.6402, 98.5266, 98.2094, 98.4587, 98.528, 98.7567
1803.68, 98.0918, 98.489, 98.6128, 98.4559, 98.632, 98.5268, 98.2054, 98.4619, 98.5307, 98.7487
1803.61, 98.0779, 98.481, 98.6168, 98.4553, 98.6265, 98.5277, 98.205, 98.464, 98.5318, 98.7391
1803.55, 98.0641, 98.4737, 98.6216, 98.4528, 98.6232, 98.5285, 98.2063, 98.4654, 98.5296, 98.7293
1803.49, 98.0502, 98.4673, 98.6263, 98.4489, 98.6216, 98.5284, 98.2069, 98.4659, 98.5233, 98.7208
1803.43, 98.0363, 98.4615, 98.6296, 98.4445, 98.621, 98.5265, 98.2053, 98.465, 98.5127, 98.7145
1803.37, 98.0224, 98.4563, 98.6308, 98.4407, 98.6206, 98.5224, 98.2002, 98.4623, 98.4985, 98.7108
1803.31, 98.0093, 98.4514, 98.6293, 98.4383, 98.6196, 98.516, 98.1917, 98.4572, 98.482, 98.7094
1803.25, 97.9979, 98.447, 98.6252, 98.4373, 98.6172, 98.5079, 98.1803, 98.4496, 98.4651, 98.7097
1803.19, 97.9891, 98.4436, 98.6193, 98.4373, 98.6126, 98.499, 98.1672, 98.44, 98.4496, 98.7112
1803.13, 97.9833, 98.4413, 98.6129, 98.4372, 98.6056, 98.4907, 98.1537, 98.4297, 98.437, 98.7134
1803.07, 97.9806, 98.44, 98.6075, 98.4361, 98.596, 98.4837, 98.141, 98.4208, 98.4283, 98.7161
1803.01, 97.9798, 98.4389, 98.6047, 98.4336, 98.5847, 98.4788, 98.1303, 98.4155, 98.4238, 98.719
1802.95, 97.9798, 98.4365, 98.6057, 98.4299, 98.5728, 98.4756, 98.1225, 98.4157, 98.4228, 98.7214
1802.89, 97.9791, 98.4316, 98.611, 98.4261, 98.5618, 98.4735, 98.118, 98.4226, 98.4242, 98.7224
1802.83, 97.9769, 98.4232, 98.6207, 98.4233, 98.5531, 98.4715, 98.1168, 98.4361, 98.4265, 98.7211
1802.77, 97.9732, 98.4114, 98.6336, 98.4224, 98.5476, 98.4689, 98.1178, 98.4545, 98.4279, 98.7167
1802.71, 97.9687, 98.3978, 98.6482, 98.4237, 98.546, 98.4654, 98.1194, 98.4755, 98.4271, 98.7096
1802.65, 97.9647, 98.3847, 98.6625, 98.4265, 98.5483, 98.4615, 98.1195, 98.4959, 98.4228, 98.7009
1802.59, 97.9622, 98.3749, 98.6749, 98.4292, 98.5539, 98.4584, 98.1159, 98.5126, 98.4147, 98.6923
1802.53, 97.9614, 98.3706, 98.6841, 98.4304, 98.5624, 98.4575, 98.1073, 98.5235, 98.4029, 98.6859
1802.47, 97.9618, 98.3726, 98.6895, 98.4287, 98.5733, 98.4603, 98.0937, 98.5272, 98.388, 98.6831
1802.41, 97.9623, 98.3803, 98.6914, 98.4238, 98.5858, 98.4674, 98.0766, 98.5236, 98.3715, 98.6846
1802.35, 97.9616, 98.3914, 98.6905, 98.4163, 98.5992, 98.4788, 98.0586, 98.5133, 98.3549, 98.6897
1802.29, 97.9588, 98.4027, 98.6878, 98.4076, 98.6123, 98.4935, 98.0425, 98.4981, 98.3399, 98.6968
1802.23, 97.9541, 98.4109, 98.6836, 98.3994, 98.6237, 98.5098, 98.0306, 98.4802, 98.3283, 98.704
1802.17, 97.9484, 98.4138, 98.678, 98.3933, 98.6318, 98.5259, 98.0234, 98.4618, 98.3209, 98.7094
1802.11, 97.9431, 98.4102, 98.6704, 98.3903, 98.6355, 98.54, 98.0203, 98.4455, 98.3181, 98.7114
1802.05, 97.9393, 98.4009, 98.6602, 98.3905, 98.6342, 98.5508, 98.019, 98.4333, 98.3195, 98.7093
1801.99, 97.9374, 98.3877, 98.6469, 98.3933, 98.6286, 98.5577, 98.0171, 98.4267, 98.324, 98.703
