Wavenumber, 13001_2-22.SPA, 13011_2-22.SPA, 13021_2-22.SPA, 13031_2-22.SPA, 13051_2-22.SPA, 13071_2-22.SPA, 13091_2-22.SPA
1802.47, 98.1538, 97.9215, 98.2878, 98.425, 98.3891, 98.5677, 98.4736
1802.41, 98.1516, 97.9232, 98.2863, 98.4329, 98.3761, 98.5557, 98.4744
1802.35, 98.1493, 97.9259, 98.2836, 98.4341, 98.3681, 98.5443, 98.4776
1802.29, 98.1471, 97.9283, 98.2784, 98.4305, 98.3661, 98.5349, 98.4831
1802.23, 98.1447, 97.9297, 98.2705, 98.4247, 98.3705, 98.5286, 98.4903
1802.17, 98.1418, 97.9291, 98.2602, 98.419, 98.3808, 98.526, 98.498
1802.11, 98.1376, 97.9264, 98.2489, 98.4145, 98.3955, 98.5272, 98.5051
1802.05, 98.1316, 97.9213, 98.2384, 98.4108, 98.4125, 98.5314, 98.5106
1801.99, 98.1236, 97.9142, 98.2303, 98.4065, 98.4292, 98.5376, 98.5136
1801.93, 98.1137, 97.9056, 98.226, 98.4, 98.4432, 98.544, 98.514
1801.87, 98.1027, 97.8961, 98.2255, 98.3901, 98.4522, 98.5487, 98.5119
1801.81, 98.0913, 97.8863, 98.2285, 98.3769, 98.4548, 98.5495, 98.5076
1801.75, 98.0807, 97.8766, 98.2338, 98.3613, 98.4504, 98.5451, 98.5015
1801.69, 98.0713, 97.867, 98.2399, 98.3451, 98.4398, 98.5348, 98.4939
1801.63, 98.0633, 97.8577, 98.2459, 98.3304, 98.4249, 98.5189, 98.4851
1801.57, 98.0561, 97.8486, 98.2509, 98.3189, 98.4086, 98.4988, 98.4752
1801.51, 98.0486, 97.8399, 98.255, 98.3118, 98.3942, 98.4766, 98.4649
1801.45, 98.0397, 97.8322, 98.2585, 98.3094, 98.3849, 98.455, 98.455
1801.39, 98.0284, 97.8261, 98.2622, 98.3114, 98.3827, 98.4366, 98.447
1801.32, 98.0145, 97.8224, 98.2666, 98.3168, 98.3881, 98.4235, 98.4425
1801.26, 97.9983, 97.8212, 98.272, 98.3245, 98.4, 98.417, 98.4432
1801.2, 97.9811, 97.8223, 98.2781, 98.3331, 98.4158, 98.4176, 98.4498
1801.14, 97.9646, 97.8247, 98.2842, 98.3413, 98.4324, 98.4247, 98.4622
1801.08, 97.9507, 97.8266, 98.2887, 98.3484, 98.4471, 98.4372, 98.4789
1801.02, 97.9409, 97.8263, 98.2903, 98.354, 98.458, 98.4533, 98.4975
1800.96, 97.9359, 97.8219, 98.2874, 98.358, 98.4645, 98.471, 98.5152
1800.9, 97.9356, 97.812, 98.279, 98.3607, 98.4672, 98.4884, 98.5294
1800.84, 97.9389, 97.7962, 98.2646, 98.3619, 98.4672, 98.5037, 98.5383
1800.78, 97.9438, 97.7745, 98.2451, 98.3613, 98.4653, 98.5157, 98.5416
1800.72, 97.9482, 97.748, 98.222, 98.3579, 98.4621, 98.5238, 98.5403
1800.66, 97.95, 97.7186, 98.1974, 98.3507, 98.4576, 98.5278, 98.5362
1800.6, 97.9476, 97.6884, 98.1736, 98.3388, 98.4512, 98.5282, 98.5315
1800.54, 97.9404, 97.6597, 98.1525, 98.3226, 98.4425, 98.5256, 98.528
1800.48, 97.9282, 97.6346, 98.1354, 98.3036, 98.4317, 98.5209, 98.5267
1800.42, 97.9114, 97.6146, 98.1224, 98.2847, 98.4193, 98.5147, 98.5273
1800.36, 97.8907, 97.6002, 98.1127, 98.2691, 98.4065, 98.5078, 98.5292
1800.3, 97.8667, 97.591, 98.1053, 98.2597, 98.3943, 98.5008, 98.5309
1800.24, 97.8399, 97.5859, 98.0991, 98.258, 98.3839, 98.4942, 98.5316
1800.18, 97.8105, 97.5834, 98.0933, 98.2631, 98.3762, 98.4888, 98.5306
1800.12, 97.7794, 97.5821, 98.0881, 98.2723, 98.3713, 98.4851, 98.5279
1800.06, 97.7478, 97.5809, 98.0843, 98.2817, 98.3693, 98.4836, 98.524
1800, 97.7175, 97.5797, 98.0828, 98.2869, 98.3702, 98.4843, 98.5195
1799.94, 97.6907, 97.579, 98.0846, 98.2849, 98.3739, 98.4868, 98.5149
1799.88, 97.6695, 97.5793, 98.0901, 98.2742, 98.3802, 98.4899, 98.5102
1799.82, 97.6558, 97.5807, 98.0987, 98.2554, 98.3889, 98.4926, 98.5056
1799.76, 97.65, 97.5829, 98.1093, 98.2307, 98.3994, 98.4936, 98.5009
1799.7, 97.6517, 97.5845, 98.1198, 98.2034, 98.4109, 98.4923, 98.4959
1799.64, 97.6592, 97.5835, 98.1284, 98.177, 98.4221, 98.4885, 98.4909
1799.58, 97.6703, 97.5783, 98.1335, 98.1548, 98.4321, 98.4828, 98.4863
1799.52, 97.6825, 97.5675, 98.1341, 98.1392, 98.4398, 98.4763, 98.4828
1799.46, 97.6938, 97.5512, 98.1304, 98.1321, 98.4449, 98.47, 98.481
1799.4, 97.7026, 97.5305, 98.1229, 98.134, 98.447, 98.4647, 98.4813
1799.34, 97.7076, 97.5073, 98.1128, 98.1445, 98.4465, 98.4606, 98.4839
1799.28, 97.7082, 97.4838, 98.1014, 98.162, 98.4434, 98.4575, 98.4888
1799.22, 97.7039, 97.462, 98.0897, 98.1837, 98.4376, 98.4549, 98.4954
1799.16, 97.6943, 97.4429, 98.0782, 98.2062, 98.4292, 98.4524, 98.503
1799.09, 97.6793, 97.4269, 98.067, 98.2256, 98.418, 98.4498, 98.5105
1799.03, 97.6592, 97.4138, 98.0559, 98.2385, 98.404, 98.4473, 98.5168
1798.97, 97.6348, 97.403, 98.0443, 98.2429, 98.3877, 98.4456, 98.5206
1798.91, 97.6075, 97.3939, 98.0317, 98.2381, 98.3703, 98.4453, 98.5206
1798.85, 97.5788, 97.386, 98.0179, 98.2251, 98.3533, 98.447, 98.5161
1798.79, 97.5504, 97.3788, 98.0031, 98.2063, 98.3388, 98.4509, 98.5074
1798.73, 97.5237, 97.3718, 97.9874, 98.1843, 98.3283, 98.4567, 98.4952
1798.67, 97.4994, 97.3645, 97.9716, 98.1621, 98.3232, 98.4632, 98.4811
1798.61, 97.4782, 97.3561, 97.9564, 98.1418, 98.3235, 98.4694, 98.4671
1798.55, 97.4601, 97.3461, 97.9423, 98.1251, 98.3285, 98.4736, 98.455
1798.49, 97.4446, 97.3342, 97.93, 98.1125, 98.3362, 98.4749, 98.4458
1798.43, 97.4314, 97.3204, 97.9197, 98.1041, 98.3442, 98.4725, 98.4398
1798.37, 97.4196, 97.305, 97.9116, 98.0992, 98.35, 98.4666, 98.4366
1798.31, 97.4084, 97.2885, 97.9058, 98.0967, 98.3518, 98.4583, 98.435
1798.25, 97.3967, 97.2707, 97.9023, 98.0952, 98.3489, 98.4489, 98.434
1798.19, 97.3838, 97.2515, 97.9007, 98.0934, 98.3418, 98.4404, 98.433
1798.13, 97.369, 97.2303, 97.9008, 98.0901, 98.3321, 98.4345, 98.4321
1798.07, 97.3524, 97.2065, 97.9018, 98.085, 98.322, 98.4324, 98.432
1798.01, 97.3347, 97.18, 97.903, 98.0781, 98.3136, 98.4342, 98.4338
1797.95, 97.3167, 97.1512, 97.9037, 98.0707, 98.3085, 98.4395, 98.4381
1797.89, 97.2995, 97.1216, 97.9032, 98.0642, 98.3073, 98.4471, 98.4455
1797.83, 97.284, 97.0928, 97.9013, 98.0603, 98.3098, 98.4551, 98.4552
1797.77, 97.2705, 97.0666, 97.8979, 98.0603, 98.3149, 98.4622, 98.4662
1797.71, 97.2585, 97.0441, 97.8935, 98.0649, 98.3217, 98.4672, 98.4769
1797.65, 97.2474, 97.0257, 97.8886, 98.074, 98.329, 98.4694, 98.4855
1797.59, 97.2363, 97.0105, 97.8834, 98.0867, 98.3364, 98.4689, 98.491
1797.53, 97.2248, 96.9969, 97.8777, 98.1014, 98.3436, 98.4661, 98.4929
1797.47, 97.2127, 96.9832, 97.8708, 98.1159, 98.3505, 98.4615, 98.4916
1797.41, 97.2, 96.9678, 97.8615, 98.1277, 98.3569, 98.4561, 98.488
1797.35, 97.1868, 96.9497, 97.8487, 98.1343, 98.3621, 98.4506, 98.4834
1797.29, 97.1729, 96.9291, 97.8315, 98.1331, 98.3653, 98.4458, 98.479
1797.23, 97.1576, 96.9066, 97.8099, 98.1226, 98.3656, 98.4426, 98.4756
1797.17, 97.1399, 96.8834, 97.7849, 98.1026, 98.3625, 98.4417, 98.4732
1797.11, 97.1187, 96.8608, 97.7581, 98.0746, 98.3559, 98.4435, 98.4713
1797.05, 97.0935, 96.8399, 97.7318, 98.0421, 98.3465, 98.4482, 98.4693
1796.99, 97.0643, 96.8211, 97.7079, 98.0099, 98.3352, 98.455, 98.4665
1796.93, 97.032, 96.8045, 97.6877, 97.9828, 98.3232, 98.463, 98.4626
1796.86, 96.9979, 96.7896, 97.6715, 97.9646, 98.3114, 98.4706, 98.4581
1796.8, 96.9636, 96.7752, 97.6587, 97.9567, 98.3007, 98.4766, 98.4536
1796.74, 96.93, 96.7604, 97.6482, 97.9582, 98.2916, 98.4801, 98.4504
1796.68, 96.8973, 96.7437, 97.6388, 97.9655, 98.2844, 98.4808, 98.4489
1796.62, 96.8652, 96.7244, 97.6296, 97.9744, 98.2793, 98.4791, 98.4492
1796.56, 96.8325, 96.7019, 97.6202, 97.9807, 98.2765, 98.4758, 98.4502
1796.5, 96.7982, 96.6765, 97.6108, 97.9816, 98.2757, 98.4718, 98.4504
1796.44, 96.7615, 96.649, 97.6018, 97.9764, 98.2766, 98.4678, 98.4481
1796.38, 96.7221, 96.6204, 97.5936, 97.9661, 98.2784, 98.4638, 98.442
1796.32, 96.6804, 96.5924, 97.5865, 97.9523, 98.2804, 98.4595, 98.432
1796.26, 96.6375, 96.566, 97.5804, 97.937, 98.2815, 98.4542, 98.4192
1796.2, 96.5948, 96.5423, 97.5751, 97.9212, 98.281, 98.447, 98.4054
1796.14, 96.554, 96.5213, 97.5701, 97.9057, 98.2789, 98.4375, 98.3928
1796.08, 96.5166, 96.5027, 97.5655, 97.8908, 98.2753, 98.426, 98.383
1796.02, 96.4838, 96.4859, 97.5609, 97.877, 98.271, 98.4129, 98.3765
1795.96, 96.4564, 96.4698, 97.5563, 97.8652, 98.267, 98.3995, 98.3729
1795.9, 96.4346, 96.4536, 97.551, 97.8566, 98.2642, 98.3872, 98.3708
1795.84, 96.4176, 96.4365, 97.5444, 97.8516, 98.2632, 98.3774, 98.3685
1795.78, 96.4039, 96.4179, 97.5352, 97.8497, 98.2646, 98.3711, 98.3651
1795.72, 96.3916, 96.3975, 97.5221, 97.849, 98.2684, 98.3687, 98.3603
1795.66, 96.3783, 96.375, 97.5044, 97.8466, 98.2747, 98.3699, 98.3549
1795.6, 96.3622, 96.3507, 97.4817, 97.8396, 98.283, 98.374, 98.3504
1795.54, 96.3417, 96.3244, 97.455, 97.8266, 98.2929, 98.3796, 98.3483
1795.48, 96.3164, 96.2966, 97.4261, 97.808, 98.3035, 98.3851, 98.3498
1795.42, 96.287, 96.2678, 97.3972, 97.7865, 98.3135, 98.3893, 98.3554
1795.36, 96.2548, 96.2384, 97.3707, 97.7663, 98.3213, 98.3914, 98.3649
1795.3, 96.2215, 96.2089, 97.3484, 97.7515, 98.3257, 98.3911, 98.3777
1795.24, 96.1886, 96.1798, 97.3313, 97.7447, 98.3258, 98.3888, 98.3924
1795.18, 96.1573, 96.151, 97.3192, 97.746, 98.3214, 98.3849, 98.4076
1795.12, 96.1277, 96.1225, 97.3109, 97.7529, 98.3134, 98.3802, 98.4216
1795.06, 96.0993, 96.0938, 97.3048, 97.7614, 98.3033, 98.375, 98.4324
1795, 96.0709, 96.0646, 97.2988, 97.7671, 98.293, 98.3696, 98.4383
1794.94, 96.0413, 96.0348, 97.2911, 97.7672, 98.2841, 98.364, 98.4381
1794.88, 96.0096, 96.0043, 97.2805, 97.7606, 98.2778, 98.3585, 98.4314
1794.82, 95.9754, 95.9736, 97.2659, 97.7489, 98.2746, 98.3537, 98.4187
1794.76, 95.9393, 95.9431, 97.2472, 97.7351, 98.2743, 98.3505, 98.402
1794.7, 95.9022, 95.9131, 97.2244, 97.7229, 98.2765, 98.3503, 98.3842
1794.64, 95.8655, 95.8837, 97.1982, 97.7149, 98.2806, 98.3538, 98.3681
1794.57, 95.8301, 95.8547, 97.1695, 97.7124, 98.2857, 98.3615, 98.3561
1794.51, 95.7964, 95.8254, 97.1391, 97.7152, 98.2913, 98.3724, 98.3493
1794.45, 95.7643, 95.795, 97.1082, 97.7213, 98.2963, 98.3849, 98.3474
1794.39, 95.7326, 95.7628, 97.0778, 97.7282, 98.2996, 98.3964, 98.3487
1794.33, 95.7003, 95.7288, 97.0487, 97.7336, 98.2997, 98.4045, 98.3513
1794.27, 95.6664, 95.6936, 97.0219, 97.7355, 98.2952, 98.4074, 98.3531
1794.21, 95.6311, 95.6582, 96.9983, 97.7332, 98.2851, 98.4045, 98.3528
1794.15, 95.5951, 95.6242, 96.9785, 97.7268, 98.2692, 98.3967, 98.3502
1794.09, 95.5604, 95.5931, 96.9633, 97.7172, 98.2483, 98.3857, 98.3461
1794.03, 95.5289, 95.5658, 96.9532, 97.7057, 98.2239, 98.3741, 98.3414
1793.97, 95.5026, 95.5425, 96.948, 97.6935, 98.1982, 98.3639, 98.3373
1793.91, 95.4821, 95.5223, 96.9472, 97.6809, 98.1731, 98.3569, 98.3344
1793.85, 95.4671, 95.5035, 96.9495, 97.6679, 98.1504, 98.3538, 98.333
1793.79, 95.4556, 95.4842, 96.9531, 97.6534, 98.1311, 98.3547, 98.3331
1793.73, 95.445, 95.4624, 96.9558, 97.6363, 98.1156, 98.3588, 98.3346
1793.67, 95.4323, 95.437, 96.9556, 97.6155, 98.104, 98.3655, 98.3377
1793.61, 95.4149, 95.4079, 96.9513, 97.5912, 98.0964, 98.3739, 98.3425
1793.55, 95.3914, 95.3759, 96.9422, 97.5648, 98.0928, 98.3831, 98.3492
1793.49, 95.3615, 95.3428, 96.929, 97.5391, 98.0933, 98.3923, 98.3576
1793.43, 95.3265, 95.3105, 96.913, 97.5176, 98.0974, 98.4003, 98.367
1793.37, 95.2885, 95.2809, 96.8958, 97.5036, 98.1046, 98.406, 98.3765
1793.31, 95.2504, 95.2552, 96.8791, 97.4989, 98.1132, 98.4083, 98.3846
1793.25, 95.215, 95.2337, 96.8635, 97.5035, 98.1216, 98.4066, 98.3904
1793.19, 95.1848, 95.2159, 96.8492, 97.515, 98.1279, 98.4008, 98.393
1793.13, 95.161, 95.2008, 96.8353, 97.5295, 98.1306, 98.392, 98.3925
1793.07, 95.1435, 95.1871, 96.8206, 97.5426, 98.1292, 98.3817, 98.3892
1793.01, 95.1307, 95.1736, 96.804, 97.5501, 98.124, 98.3719, 98.3843
1792.95, 95.12, 95.1595, 96.7848, 97.5493, 98.1163, 98.3648, 98.3788
1792.89, 95.1079, 95.1443, 96.7633, 97.539, 98.1076, 98.3615, 98.3737
1792.83, 95.091, 95.1278, 96.7404, 97.5199, 98.0994, 98.3625, 98.3699
1792.77, 95.0669, 95.11, 96.7179, 97.4935, 98.0925, 98.367, 98.3679
1792.71, 95.0348, 95.0909, 96.6976, 97.4622, 98.0875, 98.3732, 98.3678
1792.65, 94.9959, 95.0703, 96.6811, 97.4285, 98.0842, 98.379, 98.3694
1792.59, 94.9532, 95.0483, 96.669, 97.3952, 98.0823, 98.3824, 98.3723
1792.53, 94.9106, 95.0247, 96.6614, 97.3652, 98.0817, 98.3821, 98.3762
1792.47, 94.8718, 95.0003, 96.6574, 97.3411, 98.0822, 98.3779, 98.3804
1792.41, 94.8395, 94.9759, 96.6557, 97.3251, 98.0841, 98.3704, 98.3846
1792.34, 94.8147, 94.9529, 96.6549, 97.3188, 98.0872, 98.3611, 98.3883
1792.28, 94.7965, 94.9331, 96.6543, 97.322, 98.0916, 98.3517, 98.3916
1792.22, 94.7827, 94.9179, 96.6533, 97.3334, 98.0969, 98.3434, 98.3943
