Wavenumber, 13001_2-22.SPA, 13002_2-22.SPA, 13003_2-22.SPA, 13011_2-22.SPA, 13012_2-22.SPA, 13013_2-22.SPA, 13021_2-22.SPA, 13022_2-22.SPA, 13023_2-22.SPA, 13031_2-22.SPA, 13032_2-22.SPA, 13033_2-22.SPA, 13051_2-22.SPA, 13052_2-22.SPA, 13053_2-22.SPA, 13071_2-22.SPA, 13072_2-22.SPA, 13073_2-22.SPA, 13091_2-22.SPA, 13092_2-22.SPA, 13093_2-22.SPA
1805.54, 98.2787, 98.5707, 98.3925, 98.1768, 98.4593, 97.8775, 98.5314, 98.3766, 98.2787, 98.2787, 98.2787, 98.68, 98.9229, 98.4603, 98.2464, 98.2816, 98.4232, 98.6843, 98.5133, 98.4819, 98.5581
1805.48, 98.2764, 98.5645, 98.3742, 98.1866, 98.4609, 97.8905, 98.5275, 98.3666, 98.2905, 98.2607, 98.2607, 98.6823, 98.9267, 98.4582, 98.2393, 98.2724, 98.4194, 98.6974, 98.5327, 98.4877, 98.5669
1805.42, 98.283, 98.5577, 98.3503, 98.1937, 98.4617, 97.9041, 98.5211, 98.3589, 98.3026, 98.24, 98.24, 98.677, 98.9263, 98.4571, 98.2284, 98.2642, 98.4241, 98.7114, 98.542, 98.5006, 98.5827
1805.36, 98.297, 98.5494, 98.3238, 98.1958, 98.4627, 97.9175, 98.514, 98.355, 98.3143, 98.2184, 98.2184, 98.6634, 98.9218, 98.4585, 98.2127, 98.2584, 98.4379, 98.7239, 98.5398, 98.518, 98.6036
1805.3, 98.3153, 98.5396, 98.2987, 98.1926, 98.4646, 97.9305, 98.5077, 98.3549, 98.325, 98.1989, 98.1989, 98.6429, 98.913, 98.4633, 98.1917, 98.2572, 98.4588, 98.732, 98.5276, 98.5372, 98.6263
1805.24, 98.3335, 98.529, 98.2786, 98.1854, 98.4676, 97.943, 98.5033, 98.3579, 98.3342, 98.1845, 98.1845, 98.6184, 98.9004, 98.4708, 98.1659, 98.2627, 98.4832, 98.7333, 98.5092, 98.5561, 98.6474
1805.18, 98.3475, 98.5191, 98.2664, 98.1765, 98.4712, 97.9542, 98.5004, 98.3618, 98.3418, 98.1777, 98.1777, 98.5938, 98.8847, 98.4799, 98.1374, 98.276, 98.5068, 98.7269, 98.4895, 98.5734, 98.6639
1805.12, 98.3546, 98.5121, 98.2629, 98.1684, 98.4744, 97.9627, 98.4974, 98.3641, 98.348, 98.1795, 98.1795, 98.5732, 98.8665, 98.4889, 98.1092, 98.2969, 98.5259, 98.7136, 98.473, 98.5889, 98.6744
1805.06, 98.3539, 98.51, 98.2675, 98.1626, 98.4763, 97.967, 98.492, 98.3629, 98.3529, 98.1895, 98.1895, 98.5597, 98.847, 98.4963, 98.0853, 98.3234, 98.538, 98.6964, 98.4619, 98.603, 98.6786
1805, 98.3469, 98.514, 98.2781, 98.1593, 98.4759, 97.9652, 98.4819, 98.3574, 98.357, 98.2054, 98.2054, 98.5549, 98.8275, 98.5011, 98.0688, 98.3524, 98.5426, 98.6796, 98.4567, 98.6163, 98.6777
1804.94, 98.3361, 98.5235, 98.292, 98.1578, 98.4726, 97.9562, 98.4661, 98.3483, 98.3602, 98.2242, 98.2242, 98.559, 98.8093, 98.5028, 98.0616, 98.3805, 98.5403, 98.6679, 98.456, 98.6295, 98.6736
1804.88, 98.3243, 98.5364, 98.3062, 98.1567, 98.4659, 97.9406, 98.4447, 98.338, 98.3622, 98.2428, 98.2428, 98.5707, 98.7937, 98.5011, 98.0638, 98.4051, 98.5329, 98.6647, 98.4574, 98.6424, 98.6679
1804.82, 98.3133, 98.5493, 98.3186, 98.1548, 98.4553, 97.9204, 98.4197, 98.3292, 98.362, 98.2587, 98.2587, 98.5877, 98.7816, 98.4957, 98.0733, 98.4248, 98.5222, 98.6718, 98.459, 98.6535, 98.6616
1804.76, 98.3036, 98.5583, 98.3275, 98.1514, 98.4408, 97.8989, 98.3939, 98.325, 98.3588, 98.2706, 98.2706, 98.6068, 98.7733, 98.4865, 98.0873, 98.4397, 98.5104, 98.6882, 98.4599, 98.6607, 98.6551
1804.7, 98.294, 98.5599, 98.3318, 98.147, 98.4224, 97.8799, 98.3704, 98.3269, 98.3516, 98.2782, 98.2782, 98.6243, 98.7687, 98.4728, 98.1024, 98.4509, 98.4993, 98.711, 98.4603, 98.6615, 98.6484
1804.64, 98.2827, 98.5522, 98.3308, 98.1429, 98.4011, 97.8663, 98.3519, 98.3354, 98.3401, 98.2823, 98.2823, 98.637, 98.7668, 98.4549, 98.1162, 98.4602, 98.4906, 98.7359, 98.4609, 98.6538, 98.642
1804.58, 98.2687, 98.5349, 98.3238, 98.141, 98.3783, 97.8597, 98.3402, 98.3494, 98.3248, 98.2846, 98.2846, 98.6424, 98.7668, 98.4336, 98.1276, 98.4693, 98.4856, 98.7586, 98.4625, 98.6369, 98.6369
1804.52, 98.2522, 98.5092, 98.3103, 98.1435, 98.356, 97.8593, 98.336, 98.3671, 98.3066, 98.2864, 98.2864, 98.6399, 98.7679, 98.4112, 98.1368, 98.4792, 98.485, 98.7756, 98.4653, 98.6118, 98.6348
1804.46, 98.2353, 98.4778, 98.2903, 98.1518, 98.3359, 97.8627, 98.3391, 98.3866, 98.2871, 98.2892, 98.2892, 98.6308, 98.7697, 98.3905, 98.1448, 98.4901, 98.4887, 98.785, 98.4688, 98.5813, 98.637
1804.4, 98.2217, 98.4438, 98.2645, 98.1665, 98.3189, 97.867, 98.3485, 98.406, 98.2681, 98.2939, 98.2939, 98.6185, 98.7725, 98.3752, 98.1531, 98.5017, 98.4956, 98.786, 98.472, 98.5495, 98.6443
1804.34, 98.2149, 98.4106, 98.2346, 98.1871, 98.3048, 97.8694, 98.3633, 98.4241, 98.2511, 98.3003, 98.3003, 98.6076, 98.7768, 98.3681, 98.1625, 98.513, 98.5038, 98.7792, 98.4737, 98.5205, 98.6555
1804.28, 98.2173, 98.381, 98.203, 98.2115, 98.2919, 97.8686, 98.382, 98.4399, 98.2372, 98.3079, 98.3079, 98.6026, 98.7829, 98.3707, 98.1731, 98.5232, 98.5108, 98.7658, 98.4733, 98.4976, 98.6678
1804.22, 98.2286, 98.3573, 98.1729, 98.237, 98.2778, 97.8652, 98.4037, 98.4527, 98.2271, 98.3152, 98.3152, 98.6067, 98.7906, 98.3827, 98.1842, 98.5314, 98.5142, 98.7473, 98.4711, 98.4824, 98.6772
1804.16, 98.2458, 98.3416, 98.1473, 98.2604, 98.2609, 97.8613, 98.427, 98.462, 98.2213, 98.3205, 98.3205, 98.6203, 98.7994, 98.4018, 98.1942, 98.5372, 98.5122, 98.7254, 98.4679, 98.4747, 98.6792
1804.1, 98.2638, 98.3347, 98.1285, 98.2784, 98.2407, 97.8599, 98.4505, 98.4671, 98.2197, 98.3221, 98.3221, 98.641, 98.8085, 98.4244, 98.2015, 98.5403, 98.5041, 98.7017, 98.4652, 98.4731, 98.6704
1804.04, 98.2774, 98.337, 98.1176, 98.2888, 98.2187, 97.8634, 98.4724, 98.4682, 98.2221, 98.3187, 98.3187, 98.6643, 98.8172, 98.4463, 98.2043, 98.5412, 98.4903, 98.6777, 98.4645, 98.4752, 98.6494
1803.98, 98.2823, 98.3474, 98.114, 98.2904, 98.1982, 97.8735, 98.491, 98.4663, 98.228, 98.3101, 98.3101, 98.6845, 98.8256, 98.4641, 98.2015, 98.5404, 98.4726, 98.6549, 98.4671, 98.4789, 98.6173
1803.92, 98.2771, 98.3636, 98.116, 98.2835, 98.1833, 97.8894, 98.5047, 98.4633, 98.2362, 98.2975, 98.2975, 98.6967, 98.8343, 98.4751, 98.1927, 98.5387, 98.4538, 98.6345, 98.4735, 98.4829, 98.5773
1803.86, 98.2632, 98.3827, 98.1208, 98.2694, 98.1776, 97.9089, 98.5125, 98.4616, 98.2453, 98.2828, 98.2828, 98.6982, 98.8441, 98.4787, 98.1785, 98.5368, 98.4372, 98.6171, 98.4838, 98.4867, 98.5338
1803.8, 98.2442, 98.4007, 98.1254, 98.2505, 98.1824, 97.9282, 98.5142, 98.4636, 98.2535, 98.269, 98.269, 98.6882, 98.8556, 98.4751, 98.1604, 98.535, 98.4261, 98.6024, 98.4972, 98.4906, 98.4918
1803.74, 98.2242, 98.4145, 98.1275, 98.2294, 98.1966, 97.9432, 98.5102, 98.4703, 98.2589, 98.2595, 98.2595, 98.6686, 98.868, 98.4661, 98.1411, 98.5332, 98.4232, 98.59, 98.5121, 98.4954, 98.4557
1803.68, 98.2062, 98.4217, 98.1253, 98.2086, 98.2165, 97.9501, 98.5017, 98.4811, 98.2599, 98.2569, 98.2569, 98.6418, 98.88, 98.4537, 98.1238, 98.531, 98.4301, 98.5791, 98.5264, 98.5013, 98.4288
1803.61, 98.1912, 98.4216, 98.1186, 98.1902, 98.2367, 97.9468, 98.4902, 98.4937, 98.2555, 98.263, 98.263, 98.611, 98.889, 98.4403, 98.112, 98.5277, 98.4465, 98.5691, 98.5377, 98.5082, 98.4133
1803.55, 98.1779, 98.4149, 98.1081, 98.1758, 98.2523, 97.9327, 98.4772, 98.5043, 98.2457, 98.2779, 98.2779, 98.5786, 98.893, 98.4281, 98.1083, 98.5228, 98.4703, 98.5604, 98.5437, 98.5153, 98.4099
1803.49, 98.1635, 98.4037, 98.0951, 98.1665, 98.2593, 97.9095, 98.4637, 98.5095, 98.2314, 98.3002, 98.3002, 98.5466, 98.8907, 98.4187, 98.1141, 98.5162, 98.4979, 98.5539, 98.5429, 98.5214, 98.4181
1803.43, 98.1452, 98.3908, 98.0815, 98.1624, 98.2565, 97.8805, 98.4507, 98.5066, 98.214, 98.3269, 98.3269, 98.5168, 98.8829, 98.4133, 98.1287, 98.5085, 98.5243, 98.5514, 98.5351, 98.5255, 98.4366
1803.37, 98.1215, 98.379, 98.0689, 98.1629, 98.2449, 97.8495, 98.4389, 98.4949, 98.1957, 98.3535, 98.3535, 98.4911, 98.8716, 98.4124, 98.1496, 98.5006, 98.5447, 98.5548, 98.5216, 98.5266, 98.4624
1803.31, 98.0927, 98.3701, 98.0587, 98.1667, 98.2275, 97.8205, 98.4287, 98.476, 98.1788, 98.3752, 98.3752, 98.4712, 98.8601, 98.4156, 98.1732, 98.4938, 98.5554, 98.5655, 98.5051, 98.5243, 98.4919
1803.25, 98.0612, 98.3655, 98.0518, 98.1715, 98.2079, 97.7963, 98.4209, 98.4524, 98.1653, 98.3877, 98.3877, 98.4587, 98.8513, 98.4218, 98.1951, 98.4892, 98.5552, 98.5839, 98.4893, 98.5189, 98.5206
