Wavenumber, 9701_3-1.SPA, 9702_3-1.SPA, 9703_3-1.SPA, 971051_3-1.SPA, 971052_3-1.SPA, 971053_3-1.SPA, 97151_3-1.SPA, 97152_3-1.SPA, 97153_3-1.SPA, 97301_3-1.SPA, 97302_3-1.SPA, 97303_3-1.SPA, 97451_3-1.SPA, 97452_3-1.SPA, 97453_3-1.SPA, 97601_3-1.SPA, 97602_3-1.SPA, 97603_3-1.SPA, 97751_3-1.SPA, 97752_3-1.SPA, 97753_3-1.SPA, 97901_3-1.SPA, 97902_3-1.SPA, 97903_3-1.SPA
1850.02, 98.777, 98.3437, 98.1512, 98.5672, 98.4638, 98.1055, 98.1462, 98.5247, 97.846, 98.2107, 98.6996, 98.2184, 98.2484, 98.4768, 98.3117, 98.1364, 98.2113, 98.7704, 97.9217, 98.4115, 98.4243, 98.4066, 98.3308, 98.2897
1849.96, 98.7583, 98.348, 98.1318, 98.5559, 98.481, 98.1151, 98.1482, 98.5112, 97.8483, 98.2145, 98.7195, 98.2198, 98.2524, 98.4812, 98.3028, 98.1494, 98.2106, 98.7854, 97.9334, 98.4288, 98.4203, 98.3953, 98.3429, 98.2994
1849.9, 98.7356, 98.3524, 98.1145, 98.5486, 98.4944, 98.133, 98.1422, 98.4969, 97.8611, 98.2089, 98.7332, 98.2188, 98.2611, 98.4901, 98.291, 98.1757, 98.2106, 98.7938, 97.9448, 98.4444, 98.4219, 98.3823, 98.3565, 98.3023
1849.84, 98.7135, 98.3551, 98.1035, 98.5473, 98.504, 98.1587, 98.1296, 98.4847, 97.8817, 98.1949, 98.738, 98.2166, 98.2748, 98.5021, 98.2771, 98.2118, 98.2119, 98.7944, 97.9536, 98.4581, 98.4284, 98.3683, 98.371, 98.2969
1849.78, 98.6968, 98.355, 98.1013, 98.552, 98.5104, 98.1896, 98.1135, 98.4772, 97.9051, 98.1758, 98.7338, 98.2148, 98.2936, 98.5161, 98.2631, 98.2522, 98.2151, 98.7879, 97.9584, 98.4706, 98.4385, 98.354, 98.3851, 98.2823
1849.72, 98.6893, 98.352, 98.1085, 98.5611, 98.5148, 98.222, 98.0981, 98.4756, 97.9255, 98.156, 98.7227, 98.2152, 98.3174, 98.5323, 98.2521, 98.29, 98.2203, 98.7759, 97.9587, 98.483, 98.4502, 98.3402, 98.3976, 98.2585
1849.66, 98.6926, 98.3471, 98.123, 98.5714, 98.518, 98.2515, 98.0872, 98.48, 97.9385, 98.1406, 98.7083, 98.2189, 98.3453, 98.5513, 98.2471, 98.3191, 98.2271, 98.7613, 97.9554, 98.4957, 98.461, 98.3272, 98.4071, 98.2278
1849.6, 98.7055, 98.3414, 98.1416, 98.5794, 98.5204, 98.2741, 98.0836, 98.4891, 97.9424, 98.134, 98.6948, 98.226, 98.3749, 98.5738, 98.2506, 98.335, 98.2344, 98.7474, 97.9503, 98.5081, 98.469, 98.3148, 98.4128, 98.1944
1849.54, 98.7249, 98.3359, 98.1603, 98.582, 98.5221, 98.287, 98.0876, 98.501, 97.9384, 98.1393, 98.6856, 98.2361, 98.4025, 98.5994, 98.2634, 98.3363, 98.2401, 98.7371, 97.9455, 98.5191, 98.4728, 98.3032, 98.4147, 98.1639
1849.48, 98.746, 98.3307, 98.1759, 98.5786, 98.5225, 98.2896, 98.0979, 98.5133, 97.9297, 98.1575, 98.6827, 98.2487, 98.4241, 98.6265, 98.2846, 98.3244, 98.2418, 98.7325, 97.9422, 98.527, 98.4721, 98.2928, 98.4136, 98.1422
1849.42, 98.764, 98.3255, 98.1866, 98.5701, 98.5213, 98.283, 98.1119, 98.5238, 97.9198, 98.1871, 98.6869, 98.2632, 98.436, 98.6524, 98.3117, 98.3028, 98.2371, 98.7345, 97.9411, 98.5304, 98.4677, 98.2847, 98.4104, 98.1335
