Wavenumber, 9701_3-1.SPA, 9702_3-1.SPA, 9703_3-1.SPA, 971051_3-1.SPA, 971052_3-1.SPA, 971053_3-1.SPA, 97151_3-1.SPA, 97152_3-1.SPA, 97153_3-1.SPA, 97301_3-1.SPA, 97302_3-1.SPA, 97303_3-1.SPA, 97451_3-1.SPA, 97452_3-1.SPA, 97453_3-1.SPA, 97601_3-1.SPA, 97602_3-1.SPA, 97603_3-1.SPA, 97751_3-1.SPA, 97752_3-1.SPA, 97753_3-1.SPA, 97901_3-1.SPA, 97902_3-1.SPA, 97903_3-1.SPA
1774.32, 94.8607, 94.3293, 94.1207, 97.8805, 98.0193, 97.7083, 95.0247, 95.8455, 95.1919, 96.1183, 96.5896, 96.1754, 96.7905, 96.9534, 96.7452, 97.2943, 97.0029, 97.6462, 97.3329, 97.7541, 97.8675, 97.6928, 97.7565, 97.6461
1774.26, 94.8075, 94.2455, 94.0708, 97.8664, 97.9684, 97.6952, 94.999, 95.81, 95.1344, 96.0827, 96.5432, 96.1444, 96.7765, 96.9308, 96.7288, 97.2436, 96.975, 97.6317, 97.3065, 97.7333, 97.8702, 97.6784, 97.7807, 97.6186
1774.2, 94.7575, 94.1585, 94.0172, 97.8563, 97.9314, 97.6792, 94.9734, 95.7675, 95.0703, 96.0481, 96.502, 96.1113, 96.7637, 96.9046, 96.7163, 97.1904, 96.9529, 97.6108, 97.2757, 97.7135, 97.8658, 97.659, 97.8148, 97.5954
1774.14, 94.7095, 94.0694, 93.9584, 97.8517, 97.9104, 97.6627, 94.9446, 95.718, 95.0016, 96.0139, 96.4641, 96.0757, 96.749, 96.8759, 96.7044, 97.136, 96.9397, 97.5852, 97.2403, 97.6936, 97.8503, 97.6355, 97.8545, 97.5793
1774.08, 94.6614, 93.9789, 93.8933, 97.8532, 97.9046, 97.6484, 94.9097, 95.6625, 94.9301, 95.9798, 96.4273, 96.0368, 96.7293, 96.8461, 96.6895, 97.0816, 96.9365, 97.5577, 97.2008, 97.673, 97.8224, 97.6092, 97.8957, 97.5711
1774.02, 94.6097, 93.8877, 93.8217, 97.8605, 97.9107, 97.6384, 94.8667, 95.6028, 94.8571, 95.9457, 96.3893, 95.9937, 96.7028, 96.8171, 96.6688, 97.028, 96.9419, 97.5315, 97.1593, 97.6523, 97.7833, 97.5811, 97.9347, 97.5701
1773.96, 94.5506, 93.7966, 93.7441, 97.8718, 97.924, 97.6338, 94.8146, 95.5402, 94.7831, 95.9122, 96.3485, 95.9464, 96.6691, 96.7902, 96.6407, 96.9761, 96.9521, 97.5092, 97.1189, 97.6334, 97.7364, 97.5526, 97.9691, 97.5741
1773.9, 94.4806, 93.707, 93.6618, 97.8846, 97.9396, 97.6341, 94.7538, 95.4747, 94.7079, 95.8803, 96.3047, 95.8959, 96.6289, 96.7669, 96.6059, 96.9273, 96.9622, 97.492, 97.0835, 97.619, 97.6861, 97.5251, 97.9973, 97.5802
1773.84, 94.3975, 93.6203, 93.5761, 97.8962, 97.9535, 97.638, 94.6861, 95.4053, 94.6314, 95.8508, 96.2588, 95.8441, 96.5836, 96.7474, 96.5665, 96.8838, 96.9671, 97.4797, 97.0565, 97.6119, 97.6364, 97.5004, 98.0186, 97.5857
1773.78, 94.3009, 93.5386, 93.4882, 97.9042, 97.9628, 97.6442, 94.6138, 95.3305, 94.5541, 95.8242, 96.2126, 95.7931, 96.5349, 96.7311, 96.5261, 96.8479, 96.9627, 97.4704, 97.0394, 97.6133, 97.5898, 97.4808, 98.0323, 97.5887
1773.72, 94.1921, 93.463, 93.3985, 97.9067, 97.966, 97.6516, 94.5397, 95.2494, 94.4772, 95.8007, 96.1683, 95.7441, 96.4842, 96.7166, 96.488, 96.822, 96.9463, 97.4619, 97.0319, 97.6227, 97.5473, 97.4681, 98.0382, 97.5886
1773.66, 94.0734, 93.3939, 93.3069, 97.903, 97.9625, 97.6603, 94.4662, 95.1625, 94.402, 95.7797, 96.127, 95.6974, 96.4329, 96.7016, 96.4544, 96.8072, 96.9173, 97.452, 97.0317, 97.6369, 97.5084, 97.4632, 98.036, 97.586
1773.6, 93.9485, 93.3298, 93.2129, 97.8934, 97.9521, 97.6707, 94.3946, 95.0719, 94.3301, 95.7601, 96.0889, 95.6515, 96.3822, 96.6832, 96.4256, 96.8033, 96.877, 97.4392, 97.0354, 97.6513, 97.4719, 97.4655, 98.0257, 97.5817
1773.54, 93.8207, 93.2676, 93.1161, 97.8788, 97.9352, 97.6835, 94.325, 94.9808, 94.2616, 95.74, 96.0525, 95.6037, 96.3335, 96.6588, 96.4003, 96.8082, 96.8285, 97.4232, 97.0396, 97.6612, 97.4369, 97.4727, 98.0073, 97.5769
1773.48, 93.6934, 93.203, 93.0165, 97.8609, 97.9122, 97.6989, 94.2563, 94.8925, 94.196, 95.7171, 96.0151, 95.551, 96.2882, 96.6264, 96.3758, 96.8184, 96.7761, 97.4042, 97.042, 97.6631, 97.403, 97.481, 97.9813, 97.5717
1773.42, 93.5693, 93.1316, 92.9147, 97.8417, 97.8843, 97.7154, 94.1866, 94.809, 94.1314, 95.6886, 95.974, 95.4912, 96.2476, 96.5854, 96.3496, 96.8294, 96.7247, 97.383, 97.0412, 97.6558, 97.3711, 97.4857, 97.9484, 97.5657
1773.36, 93.4511, 93.0501, 92.812, 97.8234, 97.8531, 97.731, 94.1135, 94.7311, 94.0657, 95.6521, 95.9273, 95.4235, 96.2124, 96.5366, 96.3198, 96.8372, 96.6792, 97.36, 97.0369, 97.6399, 97.3424, 97.483, 97.9096, 97.5576
1773.3, 93.3406, 92.9576, 92.7099, 97.8082, 97.8207, 97.7427, 94.0352, 94.6576, 93.997, 95.6059, 95.875, 95.3487, 96.1828, 96.4827, 96.2856, 96.8385, 96.6433, 97.3351, 97.0293, 97.6177, 97.3182, 97.4708, 97.8665, 97.5456
